Date,Open,High,Low,Close,Adj Close,Volume
2020-02-14,4.390000,4.500000,4.070000,4.150000,4.150000,37226100
2020-02-18,4.450000,4.550000,4.160000,4.220000,4.220000,15211000
2020-02-19,4.210000,4.290000,3.610000,3.810000,3.810000,14385400
2020-02-20,3.760000,3.790000,3.570000,3.640000,3.640000,6073200
2020-02-21,3.730000,3.880000,3.570000,3.750000,3.750000,7859100
2020-02-24,4.100000,4.200000,3.830000,3.960000,3.960000,15286400
2020-02-25,4.020000,4.070000,3.600000,3.740000,3.740000,9679000
2020-02-26,3.800000,4.040000,3.730000,3.990000,3.990000,14289700
2020-02-27,4.440000,5.000000,4.100000,4.360000,4.360000,35052800
2020-02-28,4.790000,4.890000,3.930000,4.280000,4.280000,25742400
2020-03-02,4.400000,4.500000,3.830000,4.390000,4.390000,16180000
2020-03-03,5.120000,7.480000,4.840000,7.450000,7.450000,121306800
2020-03-04,8.440000,9.400000,7.340000,8.030000,8.030000,142160200
2020-03-05,8.030000,10.100000,7.520000,9.800000,9.800000,112845000
2020-03-06,10.810000,16.000000,10.680000,14.090000,14.090000,195142300
2020-03-09,18.900000,19.360001,8.530000,9.830000,9.830000,138364400
2020-03-10,9.400000,10.880000,5.500000,5.700000,5.700000,75074500
2020-03-11,6.850000,8.600000,6.340000,8.370000,8.370000,98432900
2020-03-12,10.950000,11.930000,8.520000,9.500000,9.500000,98065300
2020-03-13,7.990000,8.630000,6.600000,7.200000,7.200000,43970700
2020-03-16,6.060000,6.470000,5.130000,6.130000,6.130000,30066800
2020-03-17,6.820000,7.850000,6.500000,7.340000,7.340000,32484900
2020-03-18,6.920000,7.620000,6.600000,7.440000,7.440000,18324400
2020-03-19,7.390000,7.430000,6.100000,6.490000,6.490000,18310000
2020-03-20,7.050000,7.680000,6.500000,7.220000,7.220000,24446900
2020-03-23,7.390000,7.440000,6.530000,6.620000,6.620000,15497100
2020-03-24,7.310000,7.400000,6.710000,7.090000,7.090000,19009900
2020-03-25,6.930000,6.950000,6.570000,6.680000,6.680000,11349000
2020-03-26,6.720000,7.390000,6.630000,7.150000,7.150000,17695900
2020-03-27,7.270000,8.420000,7.210000,8.320000,8.320000,36204200
2020-03-30,9.200000,9.320000,7.600000,8.020000,8.020000,31303900
2020-03-31,7.940000,8.050000,7.250000,7.440000,7.440000,13557300
2020-04-01,7.320000,8.090000,7.090000,7.700000,7.700000,15973400
2020-04-02,7.630000,7.650000,7.100000,7.520000,7.520000,10865400
2020-04-03,7.310000,7.940000,7.240000,7.740000,7.740000,11052900
2020-04-06,8.480000,8.680000,7.820000,8.440000,8.440000,31317700
2020-04-07,8.750000,9.200000,7.930000,8.270000,8.270000,25542100
2020-04-08,8.290000,8.530000,8.130000,8.320000,8.320000,13996900
2020-04-09,8.400000,8.500000,8.010000,8.120000,8.120000,11626500
2020-04-13,8.080000,8.140000,7.530000,7.760000,7.760000,10435700
2020-04-14,7.840000,7.860000,7.370000,7.440000,7.440000,10986900
2020-04-15,7.220000,7.330000,6.880000,7.140000,7.140000,11467300
2020-04-16,7.610000,7.890000,7.360000,7.890000,7.890000,16823800
2020-04-17,8.000000,8.390000,7.540000,8.260000,8.260000,21123100
2020-04-20,8.140000,9.860000,8.100000,9.050000,9.050000,40869000
2020-04-21,9.520000,10.400000,8.610000,9.900000,9.900000,45541900
2020-04-22,10.580000,11.900000,10.320000,11.710000,11.710000,65935200
2020-04-23,13.180000,13.630000,11.520000,12.030000,12.030000,93746600
2020-04-24,12.600000,15.080000,12.000000,14.590000,14.590000,129572300
2020-04-27,15.790000,16.500000,12.760000,13.700000,13.700000,122088000
2020-04-28,14.370000,14.390000,12.600000,13.750000,13.750000,55000500
2020-04-29,13.980000,14.240000,13.020000,13.740000,13.740000,42098000
2020-04-30,13.200000,13.420000,11.600000,12.030000,12.030000,35760900
2020-05-01,11.000000,11.750000,9.530000,10.280000,10.280000,45302000
2020-05-04,10.120000,11.340000,9.710000,11.230000,11.230000,27213900
2020-05-05,11.350000,11.590000,10.330000,10.640000,10.640000,21321200
2020-05-06,10.390000,10.640000,9.860000,10.470000,10.470000,16936200
2020-05-07,10.420000,10.980000,10.150000,10.700000,10.700000,16181600
2020-05-08,10.450000,10.970000,10.290000,10.860000,10.860000,13591200
2020-05-11,11.220000,12.050000,11.030000,11.900000,11.900000,34302400
2020-05-12,11.690000,13.500000,11.610000,12.900000,12.900000,55374200
2020-05-13,13.420000,13.850000,11.810000,13.370000,13.370000,39714100
2020-05-14,13.680000,14.090000,12.790000,13.650000,13.650000,30107400
2020-05-15,13.170000,13.850000,12.910000,13.430000,13.430000,22126400
2020-05-18,13.690000,14.570000,13.500000,14.170000,14.170000,35477600
2020-05-19,14.130000,15.120000,13.670000,14.560000,14.560000,33146700
2020-05-20,16.590000,16.920000,15.000000,15.790000,15.790000,77201100
2020-05-21,15.540000,15.590000,13.900000,14.240000,14.240000,34343000
2020-05-22,14.250000,14.590000,13.220000,14.080000,14.080000,16171800
2020-05-26,14.210000,15.070000,14.150000,14.460000,14.460000,20717300
2020-05-27,14.000000,14.050000,12.280000,13.190000,13.190000,25674400
2020-05-28,12.770000,13.950000,12.750000,13.350000,13.350000,13829800
2020-05-29,13.550000,14.920000,13.330000,14.750000,14.750000,19359600
2020-06-01,14.780000,15.250000,14.250000,14.860000,14.860000,23309100
2020-06-02,14.520000,14.550000,13.750000,14.340000,14.340000,15648500
2020-06-03,13.900000,14.320000,12.100000,12.430000,12.430000,38161000
2020-06-04,12.450000,12.890000,11.730000,11.880000,11.880000,18582600
2020-06-05,12.110000,12.320000,11.260000,11.930000,11.930000,18795300
2020-06-08,11.850000,12.100000,11.130000,12.030000,12.030000,14912700
2020-06-09,12.000000,13.200000,11.900000,12.760000,12.760000,19104100
2020-06-10,13.100000,13.630000,12.950000,13.390000,13.390000,15250700
2020-06-11,12.920000,13.350000,12.020000,12.180000,12.180000,14659500
2020-06-12,12.610000,13.400000,12.550000,13.020000,13.020000,13138000
2020-06-15,13.150000,14.190000,13.150000,14.150000,14.150000,20379100
2020-06-16,14.230000,14.290000,13.260000,13.900000,13.900000,13944700
2020-06-17,13.690000,14.190000,13.470000,13.820000,13.820000,12087400
2020-06-18,13.670000,14.500000,13.610000,14.340000,14.340000,10963500
2020-06-19,14.430000,14.740000,14.110000,14.270000,14.270000,17969200
2020-06-22,14.500000,15.320000,14.400000,15.300000,15.300000,16222000
2020-06-23,16.760000,22.680000,16.010000,21.570000,21.570000,172015000
2020-06-24,22.120001,25.600000,20.629999,23.870001,23.870001,125018300
2020-06-25,25.790001,31.570000,25.340000,31.250000,31.250000,143776900
2020-06-26,31.639999,33.790001,24.600000,29.980000,29.980000,150212700
2020-06-29,28.320000,31.709999,26.600000,31.690001,31.690001,52957900
2020-06-30,27.040001,30.000000,23.590000,26.950001,26.950001,98390000
2020-07-01,22.750000,24.270000,18.350000,19.730000,19.730000,103810600
2020-07-02,19.910000,22.480000,19.900000,21.450001,21.450001,52609000
2020-07-06,21.620001,21.870001,19.530001,20.930000,20.930000,39657900
2020-07-07,21.000000,24.990000,20.750000,24.090000,24.090000,62338300
2020-07-08,22.799999,24.389999,22.530001,23.459999,23.459999,28460800
2020-07-09,23.000000,24.520000,22.910000,23.270000,23.270000,23928600
2020-07-10,23.129999,23.650000,22.650000,23.379999,23.379999,16854200
2020-07-13,23.469999,28.540001,23.430000,25.620001,25.620001,57051600
